批次ID,世界500强排名,企业ID,企业名称（中文）,Company Name (EN),国家/地区,行业,二级细分类型,Subtype (EN),优先级,名单下载状态字段,seed匹配状态,候选文件数,best_match_score,近似推荐文件,近似推荐得分,诊断信号,Diagnostic signals (EN),建议处理动作,Recommended action (EN),原始诊断说明,诊断规则
world500_retrieval_batch_02_candidate,75,r075_shandongenergygroup,山东能源集团有限公司,SHANDONG ENERGY GROUP,中国,采矿、原油生产,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,44,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 44 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 44 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“山东能源集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,81,r081_hengligroup,恒力集团有限公司,HENGLI GROUP,中国,纺织,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,41,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 41 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 41 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“恒力集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,83,r083_chinapostgroup,中国邮政集团有限公司,CHINA POST GROUP,中国,邮件、包裹及货物包装运输,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,44,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 44 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 44 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国邮政集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,138,r138_zhejiangrongshengholdinggroup,浙江荣盛控股集团有限公司,ZHEJIANG RONGSHENG HOLDING GROUP,中国,化学品,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,51,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 51 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 51 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“浙江荣盛控股集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,142,r142_xiamenitgholdinggroup,厦门国贸控股集团有限公司,XIAMEN ITG HOLDING GROUP,中国,贸易,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,51,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 51 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 51 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“厦门国贸控股集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,147,r147_aviationindustrycorpofchina,中国航空工业集团有限公司,AVIATION INDUSTRY CORP. OF CHINA,中国,航天与防务,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_matched,34,16,,0,seed 阶段出现过候选命中：seed_matched，seed 候选文件为 2025 DAIWA HOUSE INDUSTRY_Sustainability_All.pdf；当前候选池仍有 34 个近似候选项；当前 best_match_score=16,Seed stage produced a candidate hit: seed_matched; seed candidate file: 2025 DAIWA HOUSE INDUSTRY_Sustainability_All.pdf; Current candidate pool still contains 34 approximate candidates; Current best_match_score=16,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国航空工业集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,155,r155_energytransfer公司,Energy Transfer公司,Energy Transfer公司,美国,管道运输,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,3,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023_SUNCOR ENERGY_sustainability_report.pdf；当前候选池仍有 3 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023_SUNCOR ENERGY_sustainability_report.pdf; Current candidate pool still contains 3 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“Energy Transfer公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,160,r160_chinanorthindustriesgroup,中国兵器工业集团有限公司,CHINA NORTH INDUSTRIES GROUP,中国,航天与防务,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_matched,46,16,,0,seed 阶段出现过候选命中：seed_matched，seed 候选文件为 2024-LYONDELLBASELL INDUSTRIES-sustainability-report.pdf；当前候选池仍有 46 个近似候选项；当前 best_match_score=16,Seed stage produced a candidate hit: seed_matched; seed candidate file: 2024-LYONDELLBASELL INDUSTRIES-sustainability-report.pdf; Current candidate pool still contains 46 approximate candidates; Current best_match_score=16,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国兵器工业集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,161,r161_pacificconstructiongroup,太平洋建设集团有限公司,PACIFIC CONSTRUCTION GROUP,中国,工程与建筑,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,41,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 41 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 41 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“太平洋建设集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,175,r175_shandongweiqiaopioneeringgroup,山东魏桥创业集团有限公司,SHANDONG WEIQIAO PIONEERING GROUP,中国,纺织,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,41,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 41 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 41 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“山东魏桥创业集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,180,r180_oilandnaturalgas,印度石油天然气公司,OIL & NATURAL GAS,印度,采矿、原油生产,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,26,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2024 STANDARD CHARTERED sustainable-finance-impact-report.pdf；当前候选池仍有 26 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2024 STANDARD CHARTERED sustainable-finance-impact-report.pdf; Current candidate pool still contains 26 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“印度石油天然气公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,213,r213_jinnengholdinggroup,晋能控股集团有限公司,JINNENG HOLDING GROUP,中国,采矿、原油生产,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,51,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 51 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 51 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“晋能控股集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,219,r219_internationalbusinessmachines,国际商业机器公司,INTERNATIONAL BUSINESS MACHINES,美国,信息技术服务,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,6,16,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2024-MONDELEZ INTERNATIONAL-Snacking-Made-Right-ESG-Report.pdf；当前候选池仍有 6 个近似候选项；当前 best_match_score=16,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2024-MONDELEZ INTERNATIONAL-Snacking-Made-Right-ESG-Report.pdf; Current candidate pool still contains 6 approximate candidates; Current best_match_score=16,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“国际商业机器公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,238,r238_chinahuanenggroup,中国华能集团有限公司,CHINA HUANENG GROUP,中国,能源,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,43,13,AIA GROUP-Main-ESG-Report_CH.pdf,29,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 43 个近似候选项；当前 best_match_score=13；review 队列里出现过近似推荐文件：AIA GROUP-Main-ESG-Report_CH.pdf,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 43 approximate candidates; Current best_match_score=13; Review queue contains a higher-scored approximate recommendation: AIA GROUP-Main-ESG-Report_CH.pdf,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国华能集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,239,r239_chinaenergyengineeringgroup,中国能源建设集团有限公司,CHINA ENERGY ENGINEERING GROUP,中国,工程与建筑,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,46,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 46 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 46 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国能源建设集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,240,r240_dongfengmotor,东风汽车集团有限公司,DONGFENG MOTOR,中国,车辆与零部件,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,7,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2024_MAZDA MOTOR_Sustainability_Report.pdf；当前候选池仍有 7 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2024_MAZDA MOTOR_Sustainability_Report.pdf; Current candidate pool still contains 7 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“东风汽车集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,243,r243_zhejianghengyigroup,浙江恒逸集团有限公司,ZHEJIANG HENGYI GROUP,中国,化学品,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,41,13,Geely-Holding-Group-Sustainability-Report-2024-ZH.pdf,31,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 41 个近似候选项；当前 best_match_score=13；review 队列里出现过近似推荐文件：Geely-Holding-Group-Sustainability-Report-2024-ZH.pdf,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 41 approximate candidates; Current best_match_score=13; Review queue contains a higher-scored approximate recommendation: Geely-Holding-Group-Sustainability-Report-2024-ZH.pdf,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“浙江恒逸集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,249,r249_hbisgroup,河钢集团有限公司,HBIS GROUP,中国,金属产品,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,41,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 41 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 41 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“河钢集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,253,r253_chinaelectronicstechnologygroup,中国电子科技集团有限公司,CHINA ELECTRONICS TECHNOLOGY GROUP,中国,航天与防务,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,45,16,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2024-ARROW ELECTRONICS-Corporate-Stewardship-and-Impact-Report-1.pdf；当前候选池仍有 45 个近似候选项；当前 best_match_score=16,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2024-ARROW ELECTRONICS-Corporate-Stewardship-and-Impact-Report-1.pdf; Current candidate pool still contains 45 approximate candidates; Current best_match_score=16,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国电子科技集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,265,r265_tsingshanholdinggroup,青山控股集团有限公司,TSINGSHAN HOLDING GROUP,中国,金属产品,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,51,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 51 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 51 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“青山控股集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,267,r267_coscoshipping,中国远洋海运集团有限公司,COSCO SHIPPING,中国,船务,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,P,unmatched,0,4,,0,名单字段已标注报告下载状态：P,Registry download-status field is populated: P,优先回查原始下载台账/文件转存是否遗漏；再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"First re-check the original download ledger or transfer directory for a missed file; Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国远洋海运集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,277,r277_mideagroup,美的集团股份有限公司,MIDEA GROUP,中国,电子、电气设备,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,41,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-2024-EMIRATES GROUP-annual-report.pdf；当前候选池仍有 41 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-2024-EMIRATES GROUP-annual-report.pdf; Current candidate pool still contains 41 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“美的集团股份有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,279,r279_chinaunitednetworkcommunications,中国联合网络通信股份有限公司,CHINA UNITED NETWORK COMMUNICATIONS,中国,电信,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_matched,7,16,,0,seed 阶段出现过候选命中：seed_matched，seed 候选文件为 2023 CHARTER COMMUNICATIONS esg-report.pdf；当前候选池仍有 7 个近似候选项；当前 best_match_score=16,Seed stage produced a candidate hit: seed_matched; seed candidate file: 2023 CHARTER COMMUNICATIONS esg-report.pdf; Current candidate pool still contains 7 approximate candidates; Current best_match_score=16,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“中国联合网络通信股份有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,280,r280_libertymutualinsurancegroup,美国利宝互助保险集团,LIBERTY MUTUAL INSURANCE GROUP,美国,财产与意外保险（股份）,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,46,16,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2024-MASSACHUSETTS MUTUAL LIFE INSURANCE-sustainabilityreport.pdf；当前候选池仍有 46 个近似候选项；当前 best_match_score=16,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2024-MASSACHUSETTS MUTUAL LIFE INSURANCE-sustainabilityreport.pdf; Current candidate pool still contains 46 approximate candidates; Current best_match_score=16,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“美国利宝互助保险集团”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
world500_retrieval_batch_02_candidate,281,r281_bankofnovascotia,加拿大丰业银行,BANK OF NOVA SCOTIA,加拿大,银行：商业储蓄,值得二次检索补库,Worth secondary retrieval and corpus backfill,medium,,seed_review_needed,24,13,,0,seed 阶段出现过候选命中：seed_review_needed，seed 候选文件为 2023-BANK OF NEW YORK MELLON sustainability-report.pdf；当前候选池仍有 24 个近似候选项；当前 best_match_score=13,Seed stage produced a candidate hit: seed_review_needed; seed candidate file: 2023-BANK OF NEW YORK MELLON sustainability-report.pdf; Current candidate pool still contains 24 approximate candidates; Current best_match_score=13,再以母公司中英文全称、简称、official site + ESG/annual/sustainability/climate 关键词进行二次检索补库，补入后回跑 report catalog 与 diagnosis 链路。,"Then run a second retrieval round with the parent-company Chinese/English name, short name, and official-site + ESG/annual/sustainability/climate keywords; rebuild the report catalog and diagnosis after backfill.",在当前库存文件中，未检出能够安全归属于“加拿大丰业银行”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,default_no_parent_report
