company_id,world500_rank,company_name_zh,company_name_en,diagnosis_category_zh,diagnosis_category_en,evidence_file,evidence_path,evidence_type,diagnosis_note_zh,diagnosis_note_en,confidence_level,diagnosis_rule
r383_jiangsushaganggroup,383,江苏沙钢集团有限公司,JIANGSU SHAGANG GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“江苏沙钢集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'JIANGSU SHAGANG GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r389_dollargeneral公司,389,Dollar General公司,Dollar General公司,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“Dollar General公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'Dollar General公司'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r390_cenovusenergy公司,390,Cenovus Energy公司,Cenovus Energy公司,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“Cenovus Energy公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'Cenovus Energy公司'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r393_fairfaxfinancialholdings,393,加拿大枫信金融控股公司,FAIRFAX FINANCIAL HOLDINGS,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“加拿大枫信金融控股公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'FAIRFAX FINANCIAL HOLDINGS'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r394_guangzhouindustrialinvestmentholdings,394,广州工业投资控股集团有限公司,GUANGZHOU INDUSTRIAL INVESTMENT HOLDINGS,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“广州工业投资控股集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'GUANGZHOU INDUSTRIAL INVESTMENT HOLDINGS'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r040_elevancehealth公司,40,Elevance Health公司,Elevance Health公司,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“Elevance Health公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'Elevance Health公司'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r402_hangzhouindustrialinvestmentgroup,402,杭州市实业投资集团有限公司,HANGZHOU INDUSTRIAL INVESTMENT GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“杭州市实业投资集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'HANGZHOU INDUSTRIAL INVESTMENT GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r404_dzbank,404,德国中央合作银行,DZ BANK,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“德国中央合作银行”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'DZ BANK'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r405_gs加德士,405,GS加德士,GS加德士,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“GS加德士”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'GS加德士'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r408_x5零售集团,408,X5零售集团,X5零售集团,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“X5零售集团”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'X5零售集团'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r410_hangzhouironandsteelgroup,410,杭州钢铁集团有限公司,HANGZHOU IRON AND STEEL GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“杭州钢铁集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'HANGZHOU IRON AND STEEL GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r411_shanghaipharmaceuticalsholding,411,上海医药集团股份有限公司,SHANGHAI PHARMACEUTICALS HOLDING,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“上海医药集团股份有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'SHANGHAI PHARMACEUTICALS HOLDING'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r412_shandonghispeedgroup,412,山东高速集团有限公司,SHANDONG HI-SPEED GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“山东高速集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'SHANDONG HI-SPEED GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r414_guangdongguangxinholdingsgroup,414,广东省广新控股集团有限公司,GUANGDONG GUANGXIN HOLDINGS GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“广东省广新控股集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'GUANGDONG GUANGXIN HOLDINGS GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r417_guangzhoupharmaceuticalholdings,417,广州医药集团有限公司,GUANGZHOU PHARMACEUTICAL HOLDINGS,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“广州医药集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'GUANGZHOU PHARMACEUTICAL HOLDINGS'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r419_mapfregroup,419,曼福集团,MAPFRE GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“曼福集团”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'MAPFRE GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r420_cfe公司,420,CFE公司,CFE公司,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“CFE公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'CFE公司'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r043_chinarailwayconstruction,43,中国铁道建筑集团有限公司,CHINA RAILWAY CONSTRUCTION,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“中国铁道建筑集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'CHINA RAILWAY CONSTRUCTION'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r430_usfoodsholding公司,430,US Foods Holding公司,US Foods Holding公司,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“US Foods Holding公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'US Foods Holding公司'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r432_migros集团,432,Migros集团,Migros集团,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“Migros集团”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'Migros集团'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r435_chinaelectronics,435,中国电子信息产业集团有限公司,CHINA ELECTRONICS,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“中国电子信息产业集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'CHINA ELECTRONICS'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r436_shudaoinvestmentgroup,436,蜀道投资集团有限责任公司,SHUDAO INVESTMENT GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“蜀道投资集团有限责任公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'SHUDAO INVESTMENT GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r437_chinanationalcoalgroup,437,中国中煤能源集团有限公司,CHINA NATIONAL COAL GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“中国中煤能源集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'CHINA NATIONAL COAL GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r438_tonglingnonferrousmetalsgroup,438,铜陵有色金属集团控股有限公司,TONGLING NONFERROUS METALS GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“铜陵有色金属集团控股有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'TONGLING NONFERROUS METALS GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r439_ckhutchisonholdings,439,长江和记实业有限公司,CK HUTCHISON HOLDINGS,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“长江和记实业有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'CK HUTCHISON HOLDINGS'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r442_pddholdings,442,拼多多控股公司,PDD HOLDINGS,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“拼多多控股公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'PDD HOLDINGS'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r447_nucor,447,纽柯,NUCOR,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“纽柯”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'NUCOR'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r452_shanghaidelongsteelgroup,452,上海德龙钢铁集团有限公司,SHANGHAI DELONG STEEL GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“上海德龙钢铁集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'SHANGHAI DELONG STEEL GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r458_beijingjianlongheavyindustrygroup,458,北京建龙重工集团有限公司,BEIJING JIANLONG HEAVY INDUSTRY GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“北京建龙重工集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'BEIJING JIANLONG HEAVY INDUSTRY GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r460_shaanxiconstructionengineeringholding,460,陕西建工控股集团有限公司,SHAANXI CONSTRUCTION ENGINEERING HOLDING,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“陕西建工控股集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'SHAANXI CONSTRUCTION ENGINEERING HOLDING'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r465_cpc,465,台湾中油股份有限公司,CPC,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“台湾中油股份有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'CPC'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r471_shanxicokingcoalgroup,471,山西焦煤集团有限责任公司,SHANXI COKING COAL GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“山西焦煤集团有限责任公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'SHANXI COKING COAL GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r472_guangxiinvestmentgroup,472,广西投资集团有限公司,GUANGXI INVESTMENT GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“广西投资集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'GUANGXI INVESTMENT GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r476_powercorpofcanada,476,加拿大鲍尔集团,POWER CORP. OF CANADA,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“加拿大鲍尔集团”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'POWER CORP. OF CANADA'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r483_chinanationalaviationfuelgroup,483,中国航空油料集团有限公司,CHINA NATIONAL AVIATION FUEL GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“中国航空油料集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'CHINA NATIONAL AVIATION FUEL GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r488_luxshareprecisionindustry,488,立讯精密工业股份有限公司,LUXSHARE PRECISION INDUSTRY,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“立讯精密工业股份有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'LUXSHARE PRECISION INDUSTRY'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r490_visa公司,490,Visa公司,Visa公司,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“Visa公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'Visa公司'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r496_airfranceklmgroup,496,法国航空－荷兰皇家航空集团,AIR FRANCE-KLM GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“法国航空－荷兰皇家航空集团”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'AIR FRANCE-KLM GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r497_enbridge公司,497,Enbridge公司,Enbridge公司,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“Enbridge公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'Enbridge公司'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r499_enbridge公司,499,Enbridge公司,Enbridge公司,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“Enbridge公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'Enbridge公司'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r051_kroger,51,克罗格,KROGER,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“克罗格”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'KROGER'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r064_bnpparibas,64,法国巴黎银行,BNP PARIBAS,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“法国巴黎银行”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'BNP PARIBAS'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r075_shandongenergygroup,75,山东能源集团有限公司,SHANDONG ENERGY GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“山东能源集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'SHANDONG ENERGY GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r076_comcast,76,美国康卡斯特电信公司,COMCAST,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“美国康卡斯特电信公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'COMCAST'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r080_wellsfargo,80,美国富国银行,WELLS FARGO,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“美国富国银行”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'WELLS FARGO'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r081_hengligroup,81,恒力集团有限公司,HENGLI GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“恒力集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'HENGLI GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r083_chinapostgroup,83,中国邮政集团有限公司,CHINA POST GROUP,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“中国邮政集团有限公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'CHINA POST GROUP'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r088_freddiemac,88,房地美,FREDDIE MAC,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“房地美”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'FREDDIE MAC'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r009_berkshirehathaway,9,伯克希尔－哈撒韦公司,BERKSHIRE HATHAWAY,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“伯克希尔－哈撒韦公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'BERKSHIRE HATHAWAY'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r092_humana,92,哈门那公司,HUMANA,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“哈门那公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'HUMANA'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
r099_petrobras,99,巴西国家石油公司,PETROBRAS,库内无母公司主报告,No parent-company main report in corpus,,,,在当前库存文件中，未检出能够安全归属于“巴西国家石油公司”母公司的主报告文件；现有文件名检索结果不足以支持人工硬配。,No file in the current corpus can be safely attributed to the parent company 'PETROBRAS'. Available file-name evidence is insufficient for a reliable manual match.,high,default_no_parent_report
