company_id,company_name_en,company_name_zh,world500_rank,scope_en,basis_en,boundary_en,value_mtco2e,evidence_page,source_file,source_path,missing_emission_factor_application,missing_gwp_version_fact,missing_energy_consumption_fact,missing_economic_instrument_fact,required_action_zh,reviewer_factor_id,reviewer_gwp_version,reviewer_energy_record_id,reviewer_economic_instrument_id,reviewer_note_zh
r001_walmart,WALMART,沃尔玛,1,Scope 1,,,9.03,106,FY2025-Walmart-ESG-Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\FY2025-Walmart-ESG-Report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r001_walmart,WALMART,沃尔玛,1,Scope 2,Market-Based,,6.61,106,FY2025-Walmart-ESG-Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\FY2025-Walmart-ESG-Report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r001_walmart,WALMART,沃尔玛,1,Scope 3,,,636.57,106,FY2025-Walmart-ESG-Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\FY2025-Walmart-ESG-Report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r002_amazoncom,AMAZON.COM,亚马逊,2,Scope 1,,,15.13,50,2024-amazon-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\2024-amazon-sustainability-report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r002_amazoncom,AMAZON.COM,亚马逊,2,Scope 2,Market-Based,,2.8,50,2024-amazon-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\2024-amazon-sustainability-report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r002_amazoncom,AMAZON.COM,亚马逊,2,Scope 3,,,50.32,50,2024-amazon-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\2024-amazon-sustainability-report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r007_apple,APPLE,苹果公司,7,Scope 1,,,0.0552,104,Apple_Environmental_Progress_Report_2025.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\Apple_Environmental_Progress_Report_2025.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r007_apple,APPLE,苹果公司,7,Scope 1,,,0.06371,99,Apple_Environmental_Progress_Report_2025.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\Apple_Environmental_Progress_Report_2025.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r007_apple,APPLE,苹果公司,7,Scope 2,Market-Based,,1.2245,104,Apple_Environmental_Progress_Report_2025.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\Apple_Environmental_Progress_Report_2025.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r007_apple,APPLE,苹果公司,7,Scope 2,Market-Based,,0.0033,99,Apple_Environmental_Progress_Report_2025.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\Apple_Environmental_Progress_Report_2025.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r007_apple,APPLE,苹果公司,7,Scope 3,,,15.19099,105,Apple_Environmental_Progress_Report_2025.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\Apple_Environmental_Progress_Report_2025.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r007_apple,APPLE,苹果公司,7,Scope 3,,,35.73,106,Apple_Environmental_Progress_Report_2025.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\Apple_Environmental_Progress_Report_2025.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,8,Scope 1,,,0.105782,81,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\UNITEDHEALTH GROUP—2024-sustainability-report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,8,Scope 2,Market-Based,,0.265661,81,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\UNITEDHEALTH GROUP—2024-sustainability-report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,8,Scope 3,,,17.977601,82,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\UNITEDHEALTH GROUP—2024-sustainability-report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r008_unitedhealthgroup,UNITEDHEALTH GROUP,联合健康集团,8,Scope 3,,,13.811453,82,UNITEDHEALTH GROUP—2024-sustainability-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\UNITEDHEALTH GROUP—2024-sustainability-report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r011_volkswagen,VOLKSWAGEN,大众公司,11,Scope 1,,,4.03,66,2023_Volkswagen_Group_Sustainability_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\2023_Volkswagen_Group_Sustainability_Report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r011_volkswagen,VOLKSWAGEN,大众公司,11,Scope 2,,,1.96,66,2023_Volkswagen_Group_Sustainability_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\2023_Volkswagen_Group_Sustainability_Report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r011_volkswagen,VOLKSWAGEN,大众公司,11,Scope 3,,,413.95,66,2023_Volkswagen_Group_Sustainability_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\2023_Volkswagen_Group_Sustainability_Report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r013_shell,SHELL,壳牌公司,13,Scope 1,,,50.0,109,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r013_shell,SHELL,壳牌公司,13,Scope 2,Location-Based,,8.0,109,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r013_shell,SHELL,壳牌公司,13,Scope 2,Market-Based,,8.0,109,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r016_mckesson,MCKESSON,麦克森公司,16,Scope 1,,,2e-06,64,McKesson Impact Report 2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\McKesson Impact Report 2024.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r016_mckesson,MCKESSON,麦克森公司,16,Scope 2,Location-Based,,1e-06,69,McKesson Impact Report 2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\McKesson Impact Report 2024.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r017_alphabet公司,Alphabet,Alphabet,17,Scope 1,,,0.0731,105,google-2025-environmental-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\google-2025-environmental-report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r017_alphabet公司,Alphabet,Alphabet,17,Scope 2,Market-Based,,3.0591,105,google-2025-environmental-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\google-2025-environmental-report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r017_alphabet公司,Alphabet,Alphabet,17,Scope 3,,,12.052999999999999,105,google-2025-environmental-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\google-2025-environmental-report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r021_jpmorganchase,JPMORGAN CHASE,摩根大通公司,21,Scope 1,,,115.0,27,JPMORGAN CHASE-Climate-Report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\JPMORGAN CHASE-Climate-Report-2024.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r022_industrialandcommercialbankofchina,INDUSTRIAL & COMMERCIAL BANK OF CHINA,中国工商银行股份有限公司,22,Scope 1,,,0.0996,45,ICBC_2024_Sustainability_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\ICBC_2024_Sustainability_Report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r022_industrialandcommercialbankofchina,INDUSTRIAL & COMMERCIAL BANK OF CHINA,中国工商银行股份有限公司,22,Scope 2,,,1.776,45,ICBC_2024_Sustainability_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\ICBC_2024_Sustainability_Report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r023_totalenergies,TOTALENERGIES,道达尔能源公司,23,Scope 1,,,43.0,106,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r023_totalenergies,TOTALENERGIES,道达尔能源公司,23,Scope 2,Market-Based,,2.0,106,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r023_totalenergies,TOTALENERGIES,道达尔能源公司,23,Scope 3,,,342.0,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\世界500强10份\世界500强10份\totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r023_totalenergies,TOTALENERGIES,道达尔能源公司,23,Scope 3,,,0.002023,107,totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\totalenergies_sustainability-climate-2025-progress-report_2025_en.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r024_glencore,GLENCORE,嘉能可,24,Scope 1,,,16.2,65,Glencore_2024_Sustainability_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\Glencore_2024_Sustainability_Report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r024_glencore,GLENCORE,嘉能可,24,Scope 2,,,10.9,65,Glencore_2024_Sustainability_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\Glencore_2024_Sustainability_Report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r025_bp,BP,英国石油公司,25,Scope 1,,,32.8,50,bp-sustainability-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\bp-sustainability-report-2024.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r025_bp,BP,英国石油公司,25,Scope 1,,,32.2,50,bp-sustainability-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\bp-sustainability-report-2024.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r025_bp,BP,英国石油公司,25,Scope 2,Market-Based,,0.8,50,bp-sustainability-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\bp-sustainability-report-2024.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r025_bp,BP,英国石油公司,25,Scope 2,Market-Based,,1.3,50,bp-sustainability-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\bp-sustainability-report-2024.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r027_cardinalhealth,CARDINAL HEALTH,嘉德诺健康集团,27,Scope 1,,,0.16015,80,cardinal-health-fy24-ESG-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\cardinal-health-fy24-ESG-report.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r029_chevron,CHEVRON,雪佛龙,29,Scope 1,,,54.0,10,chevron-sustainability-highlights-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\chevron-sustainability-highlights-2024.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r029_chevron,CHEVRON,雪佛龙,29,Scope 1,,,53.0,14,chevron-sustainability-highlights-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\chevron-sustainability-highlights-2024.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r029_chevron,CHEVRON,雪佛龙,29,Scope 2,Location-Based,,4.0,12,chevron-sustainability-highlights-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\chevron-sustainability-highlights-2024.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r029_chevron,CHEVRON,雪佛龙,29,Scope 2,Location-Based,,2.0,16,chevron-sustainability-highlights-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\chevron-sustainability-highlights-2024.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r029_chevron,CHEVRON,雪佛龙,29,Scope 2,Market-Based,,4.0,12,chevron-sustainability-highlights-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\chevron-sustainability-highlights-2024.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r029_chevron,CHEVRON,雪佛龙,29,Scope 2,Market-Based,,2.0,16,chevron-sustainability-highlights-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\chevron-sustainability-highlights-2024.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r031_samsungelectronics,SAMSUNG ELECTRONICS,三星电子,31,Scope 3,,,0.002021,62,SAMSUNG ELECTRONICS_Sustainability_report_2024_en.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\SAMSUNG ELECTRONICS_Sustainability_report_2024_en.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r036_fordmotor,FORD MOTOR,福特汽车公司,36,Scope 2,Location-Based,,2.0766999999999998,235,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r036_fordmotor,FORD MOTOR,福特汽车公司,36,Scope 3,,,354.14,237,2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2025-integrated-sustainability-and-financial-report-FORD MOTOR.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
r042_mercedesbenzgroup,MERCEDES-BENZ GROUP,梅赛德斯-奔驰集团,42,Scope 1,,,0.65,4,mercedes-benz-ir-sustainability-targets-and-metrics-summary-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\mercedes-benz-ir-sustainability-targets-and-metrics-summary-2024.pdf,yes,yes,yes,yes,补 EmissionFactor 引用、GWP 版本、能耗活动数据、经济工具/成本侧事实；没有披露时标注未披露，不得推断。,,,,,
