queue_id,company_id,report_id,inventory_year,scope3_total_mtco2e,category_sum_mtco2e,delta_mtco2e,delta_percent,tolerance_flag,categories_present,categories_missing,duplicate_category_codes,boundary_variants,value_unit_raw,evidence_pages,source_files,reconciliation_decision,accepted_total_value,accepted_category_sum,reviewer_note,company_name_en,company_name_zh,world500_rank
scope3_recon_00054,r260_newyorklifeinsurance,,,0.028430999999999998,0.0354,0.006969000000000003,24.51197636382823,review_delta_gt_5pct,6|13,1|2|3|4|5|7|8|9|10|11|12|14|15,,,tCO2e,54,2024NEW YORK LIFE INSURANCE Corporate-Responsibility-Report.pdf,,,,,NEW YORK LIFE INSURANCE,美国纽约人寿保险公司,260
scope3_recon_00055,r262_tjx公司,,,0.0126,,-0.0126,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,68,tjx-2025-global-corporate-responsibility-report.pdf,,,,,TJX,TJX,262
scope3_recon_00056,r263_novartis,,,4e-06,,-4e-06,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,61,novartis-integrated-report-2024.pdf,,,,,NOVARTIS,诺华公司,263
scope3_recon_00057,r264_riotintogroup,,,574.6,1.0,-573.6,-99.8259658893143,review_delta_gt_5pct,10,1|2|3|4|5|6|7|8|9|11|12|13|14|15,,,MtCO2e,60|75,2024-RIO TINTO GROUP-annual-report.pdf,,,,,RIO TINTO GROUP,力拓集团,264
scope3_recon_00058,r266_prudentialfinancial,,,0.25554099999999996,0.056089,-0.19945199999999996,-78.05088028926865,review_delta_gt_5pct,6,1|2|3|4|5|7|8|9|10|11|12|13|14|15,,,tCO2e,46|51,Prudential-s-2024-Sustainability-Report.pdf,,,,,PRUDENTIAL FINANCIAL,保德信金融集团,266
scope3_recon_00059,r268_bhpgroup,,,377.6,,-377.6,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,51,250819_bhpannualreport2025.pdf,,,,,BHP GROUP,必和必拓集团,268
scope3_recon_00060,r269_hp,,,,12.369000000000002,,,missing_total_or_categories,1|2|3|6|7,4|5|8|9|10|11|12|13|14|15,,,tCO2e,160,2024_HP_sustainability_report.pdf,,,,,HP,惠普公司,269
scope3_recon_00061,r270_unitedairlinesholdings,,,13.585206999999999,0.12317099999999999,-13.462036,-99.09334469471095,review_delta_gt_5pct,7,1|2|3|4|5|6|8|9|10|11|12|13|14|15,,,tCO2e,101,2024-UNITED AIRLINES HOLDINGS-report-interactive.pdf,,,,,UNITED AIRLINES HOLDINGS,联合航空控股公司,270
scope3_recon_00062,r271_tatamotors,,,25.9,,-25.9,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,134,tata-motor-IAR-2024-25.pdf,,,,,TATA MOTORS,印度塔塔汽车公司,271
scope3_recon_00063,r278_americanairlinesgroup,,,0.015125,,-0.015125,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,81,American-Airlines-Sustainability-Report-2024.pdf,,,,,AMERICAN AIRLINES GROUP,美国航空集团,278
scope3_recon_00064,r287_tokiomarineholdings,,,0.012516999999999999,,-0.012516999999999999,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,42,TOKIO MARINE HOLDINGS sustainability_web_2025.pdf,,,,,TOKIO MARINE HOLDINGS,东京海上日动火灾保险公司,287
scope3_recon_00065,r292_shanghaipudongdevelopmentbank,,,0.53,,-0.53,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,99,,,,,,SHANGHAI PUDONG DEVELOPMENT BANK,上海浦东发展银行股份有限公司,292
scope3_recon_00066,r294_bankofmontreal,,,5.393,1e-06,-5.392999,-99.99998145744483,review_delta_gt_5pct,1,2|3|4|5|6|7|8|9|10|11|12|13|14|15,,Operational control boundary,tCO2e,78|84,BMO_2024_SCR_EN_interactive.pdf,,,,,BANK OF MONTREAL,蒙特利尔银行,294
scope3_recon_00067,r295_zffriedrichshafen,,,1e-06,,-1e-06,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,68,ZF_AnnualReport24.pdf,,,,,ZF FRIEDRICHSHAFEN,采埃孚,295
scope3_recon_00068,r297_sanofi,,,3.8226269999999998,,-3.8226269999999998,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,38,SANOFI-sustainability-statement-2024--ESG-Report-.pdf,,,,,SANOFI,赛诺菲,297
scope3_recon_00069,r301_swissre,,,0.001,,-0.001,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,82,2024-SWISS RE-sustainability-report-en.pdf,,,,,SWISS RE,瑞士再保险股份有限公司,301
scope3_recon_00070,r304_capitalonefinancial,,,0.0002,,-0.0002,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,152,,,,,,CAPITAL ONE FINANCIAL,第一资本金融公司,304
scope3_recon_00071,r310_vodafonegroup,,,6.61,,-6.61,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,38,Vodafone 2025 Annual Report.pdf,,,,,VODAFONE GROUP,沃达丰集团,310
scope3_recon_00072,r315_unicreditgroup,,,97.473496,,-97.473496,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,271,2024-UNICREDIT GROUP-Annual-Reports-and-Accounts.pdf,,,,,UNICREDIT GROUP,联合信贷集团,315
scope3_recon_00073,r316_energiebadenwürttemberg,,,0.002023,,-0.002023,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,107,,,,,,ENERGIE BADEN-WÜRTTEMBERG,巴登-符腾堡州能源公司,316
scope3_recon_00074,r320_orange公司,,,5.361,,-5.361,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,3,ORANGE rapport annuel 2024-2025.pdf,,,,,Orange,Orange,320
scope3_recon_00075,r322_ingkagroup,,,4.9999999999999996e-06,,-4.9999999999999996e-06,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,122,ingkagroup_annualsummaryandsustainabilityreport_fy24.pdf,,,,,INGKA GROUP,英格卡集团,322
scope3_recon_00076,r324_americaninternationalgroup,,,0.009075999999999999,0.000522,-0.008553999999999999,-94.24856765094756,review_delta_gt_5pct,13,1|2|3|4|5|6|7|8|9|10|11|12|14|15,,,tCO2e,34,AMERICAN INTERNATIONAL GROUP-aig-sustainability-report-2024.pdf,,,,,AMERICAN INTERNATIONAL GROUP,美国国际集团,324
scope3_recon_00077,r327_talanx公司,,,0.012627,,-0.012627,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,32,Talanx_Nachhaltigkeitsbericht_2023_en.pdf,,,,,Talanx,Talanx,327
scope3_recon_00078,r329_astrazeneca,,,1.846,,-1.846,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,129,AstraZeneca_AR_2024.pdf,,,,,ASTRAZENECA,阿斯利康,329
scope3_recon_00079,r344_continental,,,0.0020239999999999998,,-0.0020239999999999998,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,145,CONTINENTAL annual-report-2024.pdf,,,,,CONTINENTAL,德国大陆集团,344
scope3_recon_00080,r345_raízen公司,,,13.08621082,,-13.08621082,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,32,item-1338-raizen-rs24-25-en-d11.pdf,,,,,Raízen,Raízen,345
scope3_recon_00081,r346_dow,,,,7.722999999999999e-05,,,missing_total_or_categories,1|2|3|4|5|6|7|11|12|13|14|15,8|9|10,,,tCO2e,136,DOW-2024-progress-report.pdf,,,,,DOW,陶氏公司,346
scope3_recon_00082,r350_telefónica,,,1.962411,1.4212739999999997,-0.5411370000000002,-27.575110412650574,review_delta_gt_5pct,1|2|3|6,4|5|7|8|9|10|11|12|13|14|15,,,tCO2e,110|206,2024TELEFÓNICA consolidated-management-report.pdf,,,,,TELEFÓNICA,西班牙电话公司,350
scope3_recon_00083,r352_bestbuy,,,15.732438,,-15.732438,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,59,BestBuy-CRS-Report-2025.pdf,,,,,BEST BUY,百思买,352
scope3_recon_00084,r356_thermofisherscientific,,,0.00030399999999999996,,-0.00030399999999999996,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,66,2023-THERMO FISHER SCIENTIFIC-CSR-Report.pdf,,,,,THERMO FISHER SCIENTIFIC,赛默飞世尔科技公司,356
scope3_recon_00085,r357_magnainternational,,,58.655440999999996,,-58.655440999999996,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,99,101227_magna_sustainabilityreport_fy2024_final_cda.pdf,,,,,MAGNA INTERNATIONAL,麦格纳国际,357
scope3_recon_00086,r366_warnerbrosdiscovery,,,1.4352,,-1.4352,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,25,WARNER BROS. DISCOVERY_2024_impact_report.pdf,,,,,WARNER BROS. DISCOVERY,华纳兄弟探索公司,366
scope3_recon_00087,r369_jsainsbury,,,25.652904,,-25.652904,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,35,sainsburys-plan-for-better-report-2024-25.pdf,,,,,J. SAINSBURY,森宝利公司,369
scope3_recon_00088,r376_abbottlaboratories,,,0.001,,-0.001,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,57,Abbott-2024-Global-Sustainability-Report-June-2025.pdf,,,,,ABBOTT LABORATORIES,雅培公司,376
scope3_recon_00089,r387_schneiderelectric,,,8.0,,-8.0,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,39,2024-SCHNEIDER ELECTRIC-sustainability-report_tcm564-513141.pdf,,,,,SCHNEIDER ELECTRIC,施耐德电气,387
scope3_recon_00090,r392_coop集团,,,22.633056,,-22.633056,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,53,COOP GROUP Fortschrittsbericht-Nachhaltigkeit-2024_en.pdf,,,,,Coop,Coop,392
scope3_recon_00091,r398_compassgroup,,,11.965107,,-11.965107,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,10,COMPASS GROUP sustainability-report_2024.pdf,,,,,COMPASS GROUP,康帕斯集团,398
scope3_recon_00092,r400_gsk,,,0.008624,,-0.008624,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,25,GSK-responsible-business-performance-report-2024.pdf,,,,,GSK,葛兰素史克集团,400
scope3_recon_00093,r413_honeywellinternational,,,11.389635,,-11.389635,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,61,HONEYWELL INTERNATIONAL-2025-impact-report.pdf,,,,,HONEYWELL INTERNATIONAL,霍尼韦尔国际公司,413
scope3_recon_00094,r424_starbucks,,,8.0,,-8.0,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,45,Starbucks-Fiscal-2024-Global-Impact-Report.pdf,,,,,STARBUCKS,星巴克公司,424
scope3_recon_00095,r425_olamgroup,,,0.0020239999999999998,,-0.0020239999999999998,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,99,OLAM GROUP_annual_report_2024.pdf,,,,,OLAM GROUP,新加坡奥兰集团,425
scope3_recon_00096,r427_broadcom,,,,0.10354599999999999,,,missing_total_or_categories,3|5|6|7,1|2|4|8|9|10|11|12|13|14|15,,,tCO2e,61,broadcom-2024-corpresponsibility-final.pdf,,,,,BROADCOM,博通公司,427
scope3_recon_00097,r450_sap公司,,,5.4999999999999995e-05,,-5.4999999999999995e-05,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,161,SAP integrated_report2024.pdf,,,,,SAP,SAP,450
scope3_recon_00098,r455_elililly,,,6.1739999999999995,0.0020239999999999998,-6.171976,-99.96721736313575,review_delta_gt_5pct,4,1|2|3|5|6|7|8|9|10|11|12|13|14|15,,,tCO2e,15,2024_ELI LILLY-SustainabilityReport-20251020_FINAL.pdf,,,,,ELI LILLY,美国礼来公司,455
scope3_recon_00099,r456_koreagas,,,0.0020239999999999998,,-0.0020239999999999998,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,147,KOGAS 2025 SUSTAINABILITY REPORT(A4).pdf,,,,,KOREA GAS,韩国天然气公司,456
scope3_recon_00100,r464_britishamericantobacco,,,4e-06,4e-06,0.0,0.0,pass,1,2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,tCO2e,140,BRITISH AMERICAN TOBACCO_Annual_Report_on_Form_20-F_2024.pdf,,,,,BRITISH AMERICAN TOBACCO,英美烟草集团,464
scope3_recon_00101,r466_bankofnewyorkmellon,,,0.028260999999999998,,-0.028260999999999998,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,129,2023-BANK OF NEW YORK MELLON sustainability-report.pdf,,,,,BANK OF NEW YORK MELLON,纽约梅隆银行,466
scope3_recon_00102,r469_novonordisk,,,1.5,0.001014,-1.498986,-99.9324,review_delta_gt_5pct,1|2|3,4|5|6|7|8|9|10|11|12|13|14|15,,,tCO2e,55|58,novo-nordisk-annual-report-2024.pdf,,,,,NOVO NORDISK,诺和诺德公司,469
scope3_recon_00103,r478_siemensenergy,,,0.0020239999999999998,,-0.0020239999999999998,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,85,SIEMENS ENERGY-sustainability-report-2024-pdf_Original%20file.pdf,,,,,SIEMENS ENERGY,西门子能源,478
scope3_recon_00104,r480_ecopetrol,,,151.117258,,-151.117258,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,297,2024-ECOPETROL-integrated-management-report.pdf,,,,,ECOPETROL,哥伦比亚国家石油公司,480
scope3_recon_00105,r481_arrowelectronics,,,9.05301,,-9.05301,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,81,2024-ARROW ELECTRONICS-Corporate-Stewardship-and-Impact-Report-1.pdf,,,,,ARROW ELECTRONICS,艾睿电子,481
scope3_recon_00106,r482_jerónimomartins公司,,,0.016177999999999998,,-0.016177999999999998,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,184,Jerónimo Martins公司-nfr-corporate-responsibility-jeronimomartins-ar24.pdf,,,,,Jerónimo Martins,Jerónimo Martins,482
scope3_recon_00107,r486_linde,,,0.53,,-0.53,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,99,2024-LINDE-sustainable-development-report.pdf,,,,,LINDE,林德集团,486
scope3_recon_00108,r487_heineken,,,14.8,,-14.8,-100.0,missing_total_or_categories,,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,,,,177,heineken_n_v_annual_report_2024_final_20feb2025.pdf,,,,,HEINEKEN,喜力公司,487
