action_rank,review_priority,world500_rank,company_id,company_name_en,company_name_zh,scope_en,scope_zh,basis_en,basis_zh,boundary_en,boundary_zh,value_text,unit_raw,value_mtco2e,needed_for_scope_1_2_3_completion,quick_win_for_direct_scope_completion,likely_reject_or_reextract,direct_scope_count,existing_direct_scope_set,verification_status,verification_reason_zh,source_kind,binding_mode,evidence_page,source_file,source_path,snippet_en,review_check_company_report,review_check_inventory_page,review_check_latest_year,review_check_unit,review_check_scope2_method,review_check_boundary,reviewer_decision,manual_emissions_ready,manual_note_zh
29,,376,r376_abbottlaboratories,ABBOTT LABORATORIES,雅培公司,Scope 2,范围2,Location-Based,位置法,,,23,tCO2e,2.3e-05,True,False,True,1,Scope 3,review_required,缺少有效的 MtCO2e 折算值,report_page_scan,year_table_row_anchor,55,Abbott-2024-Global-Sustainability-Report-June-2025.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\Abbott-2024-Global-Sustainability-Report-June-2025.pdf,"...CO2e Emissions Purchased Energy (Scope 2) Market-Based CO2e Emissions q, t Purchased Energy (Scope 2) Location-Based CO2e Emissionst 894 973 489 13 502 393 472 904 975 495 10 504 400 471 932 1,017 515 17 532 400 485 987 1,063 525 12 537 450 526 2024 -1%o 2023 2022 SCOPE 1 AND 2 C",,,,,,,,,
30,,387,r387_schneiderelectric,SCHNEIDER ELECTRIC,施耐德电气,Scope 3,范围3,,,,,8,MtCO2e,8.0,True,False,True,1,Scope 1,review_required,上下文像基准/目标/进度值，不是清单排放值,report_page_scan,table_column_anchor,39,2024-SCHNEIDER ELECTRIC-sustainability-report_tcm564-513141.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024-SCHNEIDER ELECTRIC-sustainability-report_tcm564-513141.pdf,"...ating suppliers are required to quantify their operational carbon footprint (Scopes 1 and 2; Scope 3 is optional), make public commitments for their reduction targets, implement action to achieve reduction, and share the emissions reduction progress with Schneider Electric. The p",,,,,,,,,
31,,387,r387_schneiderelectric,SCHNEIDER ELECTRIC,施耐德电气,Scope 3,范围3,Supplier-specific and industry-average factors,供应商特定数据与行业平均因子,,,8,MtCO2e,8.0,True,False,True,1,Scope 1,review_required,上下文像基准/目标/进度值，不是清单排放值,report_page_scan,table_column_anchor,39,2024-SCHNEIDER ELECTRIC-sustainability-report_tcm564-513141.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024-SCHNEIDER ELECTRIC-sustainability-report_tcm564-513141.pdf,"...ating suppliers are required to quantify their operational carbon footprint (Scopes 1 and 2; Scope 3 is optional), make public commitments for their reduction targets, implement action to achieve reduction, and share the emissions reduction progress with Schneider Electric. The p",,,,,,,,,
32,,413,r413_honeywellinternational,HONEYWELL INTERNATIONAL,霍尼韦尔国际公司,Scope 2,范围2,Location-Based,位置法,,,"9,097,005",tCO2e,9.097005,True,False,True,1,Scope 1,review_required,上下文像基准/目标/进度值，不是清单排放值,report_page_scan,table_column_anchor,61,HONEYWELL INTERNATIONAL-2025-impact-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\HONEYWELL INTERNATIONAL-2025-impact-report.pdf,"...2024 Greenhouse Gas (GHG) Emissions1 Scope 1 GHG emissions, metric tons CO2e 711,239 750,530 Scope 2 GHG emissions, location-based, metric tons CO2e 662,573 666,603 Total Scope 1 & 2 emissions, location-based 1,373,812 1,417,133 GHG intensity, Scope 1 & 2 location-based, metric t",,,,,,,,,
33,,455,r455_elililly,ELI LILLY,美国礼来公司,Scope 1,范围1,,,,,"192,000",tCO2e,0.192,True,False,True,1,Scope 3,review_required,Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信,report_page_anchor,year_table_row_anchor,17,2024_ELI LILLY-SustainabilityReport-20251020_FINAL.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024_ELI LILLY-SustainabilityReport-20251020_FINAL.pdf,"...ons (Scope 3) N/A On track Greenhouse Gas Emissions (Market-Based)1 2020 2021 2022 2023 2024 Scope 1 159,000 157,000 171,000 182,000 192,000 Scope 2 551,000 466,000 374,000 345,000 258,000 Greenhouse Gas Emissions (Scope 1 and Scope 2) (metric tonnes CO2e)2 710,000 623,000 545,00",,,,,,,,,
34,,456,r456_koreagas,KOREA GAS,韩国天然气公司,Scope 1,范围1,,,,,5,tCO2e,4.9999999999999996e-06,True,False,True,1,Scope 3,review_required,缺少有效的 MtCO2e 折算值；Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信,report_page_anchor,year_table_row_anchor,120,KOGAS 2025 SUSTAINABILITY REPORT(A4).pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\KOGAS 2025 SUSTAINABILITY REPORT(A4).pdf,...based on the GHG statement. - Each emission figure is rounded and may not match the total of Scope 1 and Scope 2 emissions. - Organizational scope of Scope 1 and 2 emissions: Headquarters and 16 business sites (as reported to the Ministry of Environment). 2) Calculated based on t,,,,,,,,,
35,,456,r456_koreagas,KOREA GAS,韩国天然气公司,Scope 2,范围2,,,,,"392,586",tCO2e,0.392586,True,False,True,1,Scope 3,review_required,Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信；Scope 2 未明确市场法/位置法口径,report_page_scan,year_table_row_anchor,120,KOGAS 2025 SUSTAINABILITY REPORT(A4).pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\KOGAS 2025 SUSTAINABILITY REPORT(A4).pdf,... GHG statement. - Each emission figure is rounded and may not match the total of Scope 1 and Scope 2 emissions. - Organizational scope of Scope 1 and 2 emissions: Headquarters and 16 business sites (as reported to the Ministry of Environment). 2) Calculated based on the average e,,,,,,,,,
36,,478,r478_siemensenergy,SIEMENS ENERGY,西门子能源,Scope 1,范围1,,,,,22,tCO2e,2.2e-05,True,False,True,1,Scope 3,review_required,缺少有效的 MtCO2e 折算值；上下文像基准/目标/进度值，不是清单排放值,report_page_scan,table_column_anchor,85,SIEMENS ENERGY-sustainability-report-2024-pdf_Original%20file.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\SIEMENS ENERGY-sustainability-report-2024-pdf_Original%20file.pdf,"...how challenging it will be to reduce emissions while at the same time serving our customers. Scope 1 & 2 In fiscal year 2024, our Scope 1 and 2 emissions increased by around 9% or 17 metric tons, resulting in a Scope 1 and 2 intensity of 5.71×10-6 t CO2e/€ of revenue in 2024 comp",,,,,,,,,
37,,38,r038_bankofamerica,BANK OF AMERICA,美国银行,Scope 3,范围3,,,,,"1,722,654",tCO2e,1.722654,True,True,False,0,,review_required,数值缺少稳定的表格/年份锚定,report_page_scan,sentence_unit_binding,116,BankOfAmerica_Sustainability_2024_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\BankOfAmerica_Sustainability_2024_Report.pdf,"...Credits Retired 85,786.00 tCO2e Total Net Scope 1 and Market-Based Scope 2 Emissions 0 tCO2e Scope 3 GHG Emissions Purchased Goods and Services 1,722,654 tCO2e Capital Goods 48,570 tCO2e Fuel- and Energy-Related Activities 168,018 tCO2e Upstream Transportation and Distribution 15",,,,,,,,,
38,,101,r101_eon,E.ON,意昂集团,Scope 3,范围3,,,,,5,million metric tons of CO2e,5.0,True,True,False,0,,review_required,数值缺少稳定的表格/年份锚定,report_page_scan,sentence_unit_binding,44,E.ON-GB24-gesamt-EN_final.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\E.ON-GB24-gesamt-EN_final.pdf,...n factor was portfolio streamlining as part of our B2B strategy. The market-based figure for Scope 3 emissions declined by about 5 million metric tons of CO2e for the same reason. The Sustainable Products and Services chapter contains more information about our green power produc,,,,,,,,,
39,,114,r114_royalaholddelhaize,ROYAL AHOLD DELHAIZE,皇家阿霍德德尔海兹集团,Scope 3,范围3,,,,,354,ktCO2e,0.354,True,True,False,0,,review_required,数值缺少稳定的表格/年份锚定,report_page_anchor,sentence_unit_binding,182,Ahold_Delhaize_Annual_Report_2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\Ahold_Delhaize_Annual_Report_2024.pdf,"...the GHG Protocol, emissions related to capital goods need to be reported under category 2 of scope 3 (these amounted to 354 ktCO2e for 2022 and 644 ktCO2e for 2020). We previously included all emissions related to not-for-resale purchased goods and services, including capital goo",,,,,,,,,
40,,403,r403_ubertechnologies公司,Uber Technologies,Uber Technologies,Scope 2,范围2,Market-Based,市场法,,,"118,795",tCO2e,0.118795,True,True,False,0,,review_required,数值缺少稳定的表格/年份锚定,report_page_anchor,sentence_unit_binding,55,uber-technologies-inc-2023-esg-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\uber-technologies-inc-2023-esg-report.pdf,"...43 Absolute emissions Global tCO2e42,43 Scope 1: Stationary emissions Global tCO2e 735 1,274 Scope 2: Electricity: location-based Global tCO2e 118,795 125,182 Scope 2: Electricity: market-based Global tCO2e 60,705 58,502 Total Scope 1 & 2 Emissions: location-based Global tCO2e 11",,,,,,,,,
41,,498,r498_瑞士abb集团,ABB,瑞士ABB,Scope 1,范围1,,,,,67,ktCO2e,0.067,True,False,False,0,,review_required,数值未锚定到已匹配报告页面全文,evidence_snippet_fallback,table_column_anchor,36,ABB Sustainability Statement 2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\ABB Sustainability Statement 2024.pdf,"34 ABB SUSTAINABILITY STATEMENT 2024 OVERVIEW OF SCOPE 1, 2 AND 3 GHG EMISSIONS (kt CO2e) 2024 2023 Gross scope 1 GHG emissions, of which Use of fuels 67 70 Coolants 4 4 SF6 8 9 Transport by own fleet 40 44 Emissions from biofuels - - Total",,,,,,,,,
42,,38,r038_bankofamerica,BANK OF AMERICA,美国银行,Scope 1,范围1,,,,,"68,050.00",tCO2e,0.06805,True,True,True,0,,review_required,数值缺少稳定的表格/年份锚定；Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信,report_page_scan,sentence_unit_binding,116,BankOfAmerica_Sustainability_2024_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\BankOfAmerica_Sustainability_2024_Report.pdf,"Emissions Scope 1 GHG Emissions 68,050.00 tCO2e Scope 2 GHG Location-Based Emissions 610,013.00 tCO2e Scope 2 GHG Market-Based Emissions 17,736.00 tCO2e Scope 1 and Scope 2 Carbon Credits Retired 85,786.00 tCO2e Total Net Scope 1 and Market-Based Scope 2 Emissions 0 tCO2e Scope 3",,,,,,,,,
43,,38,r038_bankofamerica,BANK OF AMERICA,美国银行,Scope 2,范围2,Market-Based,市场法,,,"610,013.00",tCO2e,0.610013,True,True,True,0,,review_required,数值缺少稳定的表格/年份锚定；Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信,report_page_scan,sentence_unit_binding,116,BankOfAmerica_Sustainability_2024_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\BankOfAmerica_Sustainability_2024_Report.pdf,"Emissions Scope 1 GHG Emissions 68,050.00 tCO2e Scope 2 GHG Location-Based Emissions 610,013.00 tCO2e Scope 2 GHG Market-Based Emissions 17,736.00 tCO2e Scope 1 and Scope 2 Carbon Credits Retired 85,786.00 tCO2e Total Net Scope 1 and Market-Based Scope 2 Emissions 0 tCO2e Scope 3",,,,,,,,,
44,,38,r038_bankofamerica,BANK OF AMERICA,美国银行,Scope 3,范围3,PCAF financed emissions methodology,PCAF投融资排放方法,,,"1,722,654",tCO2e,1.722654,True,True,True,0,,review_required,数值缺少稳定的表格/年份锚定；Scope 3 投融资排放需要 PCAF 拆分复核,report_page_scan,sentence_unit_binding,116,BankOfAmerica_Sustainability_2024_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\BankOfAmerica_Sustainability_2024_Report.pdf,"...Credits Retired 85,786.00 tCO2e Total Net Scope 1 and Market-Based Scope 2 Emissions 0 tCO2e Scope 3 GHG Emissions Purchased Goods and Services 1,722,654 tCO2e Capital Goods 48,570 tCO2e Fuel- and Energy-Related Activities 168,018 tCO2e Upstream Transportation and Distribution 15",,,,,,,,,
45,,209,r209_lg电子,LG Electronics,LG电子,Scope 1,范围1,,,,,"1,000",tCO2e,0.001,True,True,True,0,,review_required,缺少有效的 MtCO2e 折算值；数值未锚定到已匹配报告页面全文；数值缺少稳定的表格/年份锚定；Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信；上下文像基准/目标/进度值，不是清单排放值,evidence_snippet_fallback,sentence_unit_binding,24,2024-2025_LGE_Sustainability_Report_English.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\2024-2025_LGE_Sustainability_Report_English.pdf,"s (Scope 1) South Korea 1,000 tCO2eq 110 75 77 Overseas 155 134 148 Indirect GHG emissions (Scope 2) South Korea 224 217 226 Overseas 438 448 455 Total (Scope 1+ Scope 2) 928 874 907 GHG Emissions Intensity 1,000 tCO2eq/KRW 100 billion 1.12",,,,,,,,,
46,,247,r247_repsol,REPSOL,雷普索尔公司,Scope 3,范围3,,,,,0.8,Mt CO2,,True,True,True,0,,review_required,候选质量不是 high；单位不能稳定折算为 CO2e；数值缺少稳定的表格/年份锚定,report_page_scan,sentence_unit_binding,136,REPSOL consolidated-statement-non-financial-information-sustainability-information-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\REPSOL consolidated-statement-non-financial-information-sustainability-information-2024.pdf,"...of biomass not from combustion or degradation, already included in the results presented for Scope 3 and corresponding to the purchase of bio feedstocks with associated emissions of 0.8 Mt CO2 and calculated with DEFRA factors. Other considerations • The percentage of Scope 3 emi",,,,,,,,,
47,,403,r403_ubertechnologies公司,Uber Technologies,Uber Technologies,Scope 1,范围1,,,,,735,tCO2e,0.000735,True,True,True,0,,review_required,缺少有效的 MtCO2e 折算值；数值缺少稳定的表格/年份锚定,report_page_scan,sentence_unit_binding,55,uber-technologies-inc-2023-esg-report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\uber-technologies-inc-2023-esg-report.pdf,"...tors Indicator Scope Unit 202139 2022 Emissions40,41,43 Absolute emissions Global tCO2e42,43 Scope 1: Stationary emissions Global tCO2e 735 1,274 Scope 2: Electricity: location-based Global tCO2e 118,795 125,182 Scope 2: Electricity: market-based Global tCO2e 60,705 58,502 Total ",,,,,,,,,
48,,484,r484_commonwealthbankofaustralia,COMMONWEALTH BANK OF AUSTRALIA,澳洲联邦银行,Scope 2,范围2,,,,,0.1,MtCO2,,True,True,True,0,,review_required,候选质量不是 high；单位不能稳定折算为 CO2e；数值缺少稳定的表格/年份锚定；Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信；Scope 2 未明确市场法/位置法口径,report_page_scan,sentence_unit_binding,64,COMMONWEALTH BANK OF AUSTRALIA-2024-Climate-Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\COMMONWEALTH BANK OF AUSTRALIA-2024-Climate-Report.pdf,...exposure as at 30 June 2023 in the Upstream Oil Extraction sector comprising: i. Scope 1 and Scope 2 emissions of less than 0.1 MtCO2; and ii. Scope 3 emissions of 0.2 MtCO2; k. Attributed absolute emissions of 0.4 MtCO2 for the preceding 12 months based on drawn lending exposure,,,,,,,,,
49,,484,r484_commonwealthbankofaustralia,COMMONWEALTH BANK OF AUSTRALIA,澳洲联邦银行,Scope 3,范围3,,,,,0.2,MtCO2,,True,True,True,0,,review_required,候选质量不是 high；单位不能稳定折算为 CO2e；数值缺少稳定的表格/年份锚定,report_page_anchor,sentence_unit_binding,64,COMMONWEALTH BANK OF AUSTRALIA-2024-Climate-Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\COMMONWEALTH BANK OF AUSTRALIA-2024-Climate-Report.pdf,...traction sector comprising: i. Scope 1 and Scope 2 emissions of less than 0.1 MtCO2; and ii. Scope 3 emissions of 0.2 MtCO2; k. Attributed absolute emissions of 0.4 MtCO2 for the preceding 12 months based on drawn lending exposure as at 30 June 2023 in the Upstream Gas Extraction,,,,,,,,,
50,,16,r016_mckesson,MCKESSON,麦克森公司,Scope 2,范围2,Market-Based,市场法,,,2,tCO2e,2e-06,True,False,True,0,,review_required,缺少有效的 MtCO2e 折算值；数值未锚定到已匹配报告页面全文；Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信,evidence_snippet_fallback,table_column_anchor,69,McKesson Impact Report 2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\McKesson Impact Report 2024.pdf,tons CO2e] • Gross GHG emissions (Scope 1 + Scope 2 Market-based) [ metric tons CO2e] • Scope 3 GHG emissions [metric tons CO2e] Category 1 - Purchased goods and services Category 2 - Capital goods Category 3 - Fuel- and energy-related acti,,,,,,,,,
51,,38,r038_bankofamerica,BANK OF AMERICA,美国银行,Scope 2,范围2,Location-Based,位置法,,,"610,013",tCO2e,0.610013,True,False,True,0,,review_required,Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信；上下文像基准/目标/进度值，不是清单排放值,report_page_anchor,year_table_row_anchor,81,BankOfAmerica_Sustainability_2024_Report.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\BankOfAmerica_Sustainability_2024_Report.pdf,".... METRICS AND TARGETS home 81 GHG Emissions Units 2010 (baseline) 2021 2022 2023 Scope 1 and Location-Based Scope 2 Emissions Scope 1 Direct Emissions Metric tons CO2e 106,870 57,076 66,775 68,050 Location-Based Scope 2 Indirect Emissions Metric tons CO2e 1,678,547 601,906 634,51",,,,,,,,,
52,,42,r042_mercedesbenzgroup,MERCEDES-BENZ GROUP,梅赛德斯-奔驰集团,Scope 2,范围2,Market-Based,市场法,,,684,tCO2e,0.0006839999999999999,True,False,True,0,,review_required,缺少有效的 MtCO2e 折算值；Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信,report_page_anchor,table_column_anchor,12,mercedes-benz-ir-sustainability-targets-and-metrics-summary-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\mercedes-benz-ir-sustainability-targets-and-metrics-summary-2024.pdf,"...ND METRICS | MERCEDES-BENZ GROUP Further information on greenhouse gas emissions Scope 1 and Scope 2 (in 1,000 tCO2e) - company-specific 2024 Total greenhouse gas emissions Scope 1 and 2 - market-based 684 Thereof CO2 emissions in production1 423 Thereof CO2 emissions from self-g",,,,,,,,,
53,,73,r073_hyundaimotor,HYUNDAI MOTOR,现代汽车,Scope 1,范围1,,,,,"679,822",tCO2,,True,False,True,0,,review_required,候选质量不是 high；单位不能稳定折算为 CO2e；Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信,report_page_anchor,year_table_row_anchor,39,HYUNDAI MOTOR-hmc-2025-sustainability-report-en-v13.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\HYUNDAI MOTOR-hmc-2025-sustainability-report-en-v13.pdf,"...on methodology Scope 1 and Scope 2 Emissions (Unit: tCO2-eq) Classification 2022 2023 20241) Scope 1 719,949 696,590 679,822 Scope 2 (location-based) 1,853,813 1,831,531 1,726,829 Scope 2 (market-based)2) 1,684,120 1,579,161 1,417,987 Scope 1 + Scope 23) 2,404,069 2,275,751 2,097",,,,,,,,,
54,,73,r073_hyundaimotor,HYUNDAI MOTOR,现代汽车,Scope 2,范围2,,,,,0.506,tCO2e,5.06e-07,True,False,True,0,,review_required,缺少有效的 MtCO2e 折算值；Scope 2 未明确市场法/位置法口径,report_page_anchor,year_table_row_anchor,39,HYUNDAI MOTOR-hmc-2025-sustainability-report-en-v13.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\HYUNDAI MOTOR-hmc-2025-sustainability-report-en-v13.pdf,...r emissions in 2024 are scheduled for third-party verification in the second half of 2025 2) Scope 2 emissions: Addition of market-based emissions from 2022 3) to calculate the sum of Scope 1 and 2 emissions(market-based) from 2022 4) Based on the country where the Headquarters i,,,,,,,,,
55,,82,r082_allianz,ALLIANZ,安联保险集团,Scope 2,范围2,,,,,1,ktCO2e,0.001,True,False,True,0,,review_required,缺少有效的 MtCO2e 折算值；Scope 1 + Scope 2 合计值不能作为单一 Scope 数值采信；上下文像基准/目标/进度值，不是清单排放值；Scope 2 未明确市场法/位置法口径,report_page_scan,year_table_row_anchor,78,en-allianz-group-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\en-allianz-group-annual-report-2024.pdf,"...red by the emission reduction target, the 2024 absolute IAE were 1.95 mn tvCO23 (Scope 1 and Scope 2 emissions), calculated in line with the PCAF Insurance standard. To calculate the IAE of the in-scope portfolios, the emissions of the insured vehicles (Scope 1 from fuel combusti",,,,,,,,,
56,,96,r096_nestlé,NESTLÉ,雀巢公司,Scope 2,范围2,Location-Based,位置法,,,77.02,tCO2e,7.701999999999999e-05,True,False,True,0,,review_required,缺少有效的 MtCO2e 折算值,report_page_anchor,year_table_row_anchor,152,NESTLÉ-non-financial-statement-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\NESTLÉ-non-financial-statement-2024.pdf,"...ge of Scope 1 GHG emissions from regulated emission trading schemes % 33.6 305-1/2.1.1 Gross location-based Scope 2 greenhouse gas emissions Million metric tonnes CO2e 2.59 305-2/a Total GHG emissions location-based Million metric tonnes CO2e 77.02 305-1, 305-2, 305-3 Total GHG e",,,,,,,,,
