trace_review_priority_rank,world500_rank,company_id,company_name_en,company_name_zh,source_trace_gap_type,source_trace_gap_type_zh,blocking_stage,required_action_zh,acceptance_criteria_zh,has_matched_report,report_match_status,matched_source_file,recommended_source_file,page_count,review_queue_issue_type,evidence_ledger_count_raw,traceable_evidence_row_count,accepted_traceable_evidence_count,formal_traceable_evidence_count,candidate_traceable_evidence_count,missing_source_file_row_count,missing_evidence_page_row_count,missing_snippet_row_count,source_attribution_mismatch_count,reviewer_confirm_parent_report,reviewer_confirm_page_text_available,reviewer_added_evidence_rows,reviewer_decision,reviewer_note_zh
48,245,r245_assicurazionigenerali,ASSICURAZIONI GENERALI,意大利忠利保险公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,daimler-truck-ir-annual-report-2024-incl-combined-management-report-dth-ag.pdf,daimler-truck-ir-annual-report-2024-incl-combined-management-report-dth-ag.pdf,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
49,249,r249_hbisgroup,HBIS GROUP,河钢集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
50,253,r253_chinaelectronicstechnologygroup,CHINA ELECTRONICS TECHNOLOGY GROUP,中国电子科技集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
51,254,r254_nationwide,NATIONWIDE,美国全国保险公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
52,256,r256_statepowerinvestment,STATE POWER INVESTMENT,国家电力投资集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
53,265,r265_tsingshanholdinggroup,TSINGSHAN HOLDING GROUP,青山控股集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
54,267,r267_coscoshipping,COSCO SHIPPING,中国远洋海运集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
55,274,r274_deutschebahn,DEUTSCHE BAHN,德国联邦铁路公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,nachhaltigkeitskennzahlen_DB_2024.pdf,nachhaltigkeitskennzahlen_DB_2024.pdf,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
56,276,r276_tysonfoods,TYSON FOODS,泰森食品,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
57,277,r277_mideagroup,MIDEA GROUP,美的集团股份有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
58,279,r279_chinaunitednetworkcommunications,CHINA UNITED NETWORK COMMUNICATIONS,中国联合网络通信股份有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
59,280,r280_libertymutualinsurancegroup,LIBERTY MUTUAL INSURANCE GROUP,美国利宝互助保险集团,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
60,281,r281_bankofnovascotia,BANK OF NOVA SCOTIA,加拿大丰业银行,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
61,284,r284_saintgobain,SAINT-GOBAIN,圣戈班集团,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
62,285,r285_shaanxiyanchangpetroleumgroup,SHAANXI YANCHANG PETROLEUM (GROUP),陕西延长石油（集团）有限责任公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
63,288,r288_nike,NIKE,耐克公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
64,291,r291_greenlandholdinggroup,GREENLAND HOLDING GROUP,绿地控股集团股份有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
148,292,r292_shanghaipudongdevelopmentbank,SHANGHAI PUDONG DEVELOPMENT BANK,上海浦东发展银行股份有限公司,source_attribution_mismatch,证据来源归属不匹配,P1_evidence_extraction,核对 evidence_ledger 的 source_file 是否属于该公司母公司报告；跨公司来源必须删除或重新归属。,核对证据来源是否属于该公司母公司报告；跨公司来源必须删除、重新匹配或重新抽取。,False,unmatched,,,0,report_unmatched,1,0,0,0,0,1,0,0,0,,,,,
65,293,r293_louisdreyfus,LOUIS DREYFUS,路易达孚集团,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
66,296,r296_kb金融集团,KB金融集团,KB金融集团,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
67,299,r299_oracle,ORACLE,甲骨文公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
68,300,r300_jinchuangroup,JINCHUAN GROUP,金川集团股份有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
69,303,r303_enterpriseproductspartners公司,Enterprise Products Partners公司,Enterprise Products Partners公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
149,304,r304_capitalonefinancial,CAPITAL ONE FINANCIAL,第一资本金融公司,source_attribution_mismatch,证据来源归属不匹配,P1_evidence_extraction,核对 evidence_ledger 的 source_file 是否属于该公司母公司报告；跨公司来源必须删除或重新归属。,核对证据来源是否属于该公司母公司报告；跨公司来源必须删除、重新匹配或重新抽取。,False,unmatched,,,0,report_unmatched,1,0,0,0,0,1,0,0,0,,,,,
70,306,r306_hdfc银行,HDFC银行,HDFC银行,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
71,307,r307_chinanationalbuildingmaterialgroup,CHINA NATIONAL BUILDING MATERIAL GROUP,中国建材集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
72,309,r309_chinastateshipbuilding,CHINA STATE SHIPBUILDING,中国船舶集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
73,312,r312_landesbankbadenwürttemberg,LANDESBANK BADEN-WÜRTTEMBERG,德国巴登-符腾堡州银行,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
74,314,r314_jingyegroup,JINGYE GROUP,敬业集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
150,316,r316_energiebadenwürttemberg,ENERGIE BADEN-WÜRTTEMBERG,巴登-符腾堡州能源公司,source_attribution_mismatch,证据来源归属不匹配,P1_evidence_extraction,核对 evidence_ledger 的 source_file 是否属于该公司母公司报告；跨公司来源必须删除或重新归属。,核对证据来源是否属于该公司母公司报告；跨公司来源必须删除、重新匹配或重新抽取。,False,unmatched,,,0,report_unmatched,1,0,0,0,0,1,0,0,0,,,,,
75,321,r321_hd现代公司,HD现代公司,HD现代公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
76,325,r325_softbankgroup,SOFTBANK GROUP,软银集团,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
77,328,r328_américamóvil,AMÉRICA MÓVIL,美洲电信,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
78,330,r330_zhejiangcommunicationsinvestmentgroup,ZHEJIANG COMMUNICATIONS INVESTMENT GROUP,浙江省交通投资集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
79,331,r331_chinapacificinsurancegroup,CHINA PACIFIC INSURANCE (GROUP),中国太平洋保险(集团)股份有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
80,332,r332_cocacola,COCA-COLA,可口可乐公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
81,336,r336_chinahuadian,CHINA HUADIAN,中国华电集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,AIA GROUP-Main-ESG-Report_CH.pdf,AIA GROUP-Main-ESG-Report_CH.pdf,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
82,337,r337_créditmutuelgroup,CRÉDIT MUTUEL GROUP,法国国民互助信贷银行集团,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
83,338,r338_msandad保险集团控股有限公司,MS&AD保险集团控股有限公司,MS&AD保险集团控股有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
84,340,r340_susunconstructiongroup,SUSUN CONSTRUCTION GROUP,苏商建设集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
85,341,r341_sncfgroup,SNCF GROUP,法国国营铁路集团,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
86,343,r343_chinasouthindustriesgroup,CHINA SOUTH INDUSTRIES GROUP,中国兵器装备集团公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
87,347,r347_georgeweston,GEORGE WESTON,乔治威斯顿公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
88,351,r351_chinaminshengbanking,CHINA MINSHENG BANKING,中国民生银行股份有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,review_needed,Lloyds_Banking_Group_Annual_Report_2024.pdf,Lloyds_Banking_Group_Annual_Report_2024.pdf,0,report_match_review,0,0,0,0,0,0,0,0,0,,,,,
89,354,r354_shanghaiconstructiongroup,SHANGHAI CONSTRUCTION GROUP,上海建工集团股份有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
90,355,r355_lg化学公司,LG化学公司,LG化学公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
91,360,r360_unitedservicesautomobileassn,UNITED SERVICES AUTOMOBILE ASSN.,联合服务汽车协会,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
92,361,r361_guangzhoumunicipalconstructiongroup,GUANGZHOU MUNICIPAL CONSTRUCTION GROUP,广州市建筑集团有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
93,362,r362_generaldynamics,GENERAL DYNAMICS,通用动力,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
94,364,r364_zijinmininggroup,ZIJIN MINING GROUP,紫金矿业集团股份有限公司,no_parent_report,缺母公司报告,P0_source_matching,先补母公司 ESG/可持续发展/气候报告；确认不是子公司、同名企业或错误简称后再抽取页码和原文。,确认母公司主报告；记录 source_file/source_path/report_year/page_count；不得使用子公司、同名企业或误匹配报告。,False,unmatched,,,0,report_unmatched,0,0,0,0,0,0,0,0,0,,,,,
